,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
476,Batagay-Alyta,RU,67.8006,130.4114,29.84,48,18,3.09,few clouds
477,Wawa,NG,9.9022,4.4192,73.65,90,88,4.79,overcast clouds
478,Muroto,JP,33.2833,134.15,84.24,68,9,3.8,clear sky
479,Rawson,AR,-43.3002,-65.1023,49.37,66,3,12.48,clear sky
480,Moron,AR,-34.6534,-58.6198,60.55,97,7,1.99,clear sky
481,Nyurba,RU,63.2842,118.3319,39.27,40,74,5.37,broken clouds
482,Camacha,PT,33.0833,-16.3333,68.76,78,40,9.22,scattered clouds
483,Pierre,US,44.3683,-100.351,66.06,90,90,8.01,heavy intensity rain
484,Somerset East,ZA,-32.7217,25.588,53.13,95,40,3.56,scattered clouds
485,Olinda,BR,-8.0089,-34.8553,76.73,88,75,13.8,light rain
486,Skegness,GB,53.1436,0.3363,59.58,90,100,24.11,light rain
487,Margate,GB,51.3813,1.3862,60.96,83,100,4.0,overcast clouds
488,Nuuk,GL,64.1835,-51.7216,32.61,69,91,10.36,overcast clouds
489,Wad Rawah,SD,15.1603,33.1397,83.62,19,0,7.67,clear sky
490,Fukue,JP,32.6881,128.8419,80.96,74,75,21.85,broken clouds
491,Mabaruma,GY,8.2,-59.7833,75.47,88,100,2.91,overcast clouds
492,Hitoyoshi,JP,32.2167,130.75,84.02,57,0,7.0,clear sky
493,Ayan,RU,56.45,138.1667,47.46,75,100,9.66,light rain
494,Dicabisagan,PH,17.0818,122.4157,86.74,68,92,4.74,light rain
495,Amahai,ID,-3.3333,128.9167,82.62,77,60,5.37,light rain
496,Oros,BR,-6.2444,-38.9136,80.35,63,96,7.4,overcast clouds
497,Flinders,AU,-34.5833,150.8552,75.79,67,72,4.0,broken clouds
498,Indiaroba,BR,-11.5192,-37.5117,74.68,87,11,7.56,few clouds
499,Khuzhir,RU,53.1939,107.3397,40.66,59,60,2.26,broken clouds
500,Akim Swedru,GH,5.8938,-1.0164,72.21,99,95,2.01,light rain
501,Port Lincoln,AU,-34.7333,135.8667,60.01,65,29,10.56,scattered clouds
502,Olafsvik,IS,64.8945,-23.7142,42.85,74,100,32.68,overcast clouds
503,Viransehir,TR,37.2353,39.7631,68.22,38,0,3.04,clear sky
504,Roebourne,AU,-20.7833,117.1333,89.13,27,1,9.26,clear sky
505,Havre-Saint-Pierre,CA,50.2334,-63.5986,45.19,100,90,23.02,light rain
506,Cradock,ZA,-32.1642,25.6192,53.31,89,15,3.18,few clouds
507,Iqaluit,CA,63.7506,-68.5145,24.53,100,1,2.3,mist
508,Witu,KE,-2.3889,40.4382,77.16,86,100,10.69,light rain
509,Auki,SB,-8.7676,160.7034,87.04,60,99,4.29,light rain
510,Hermosillo,MX,29.0667,-110.9667,84.69,57,0,7.0,clear sky
511,Puerto Plata,DO,19.7934,-70.6884,75.16,94,75,6.91,thunderstorm
512,Banda Aceh,ID,5.5577,95.3222,79.3,83,100,11.72,overcast clouds
513,Bogotol,RU,56.2078,89.5342,36.59,91,100,8.93,overcast clouds
514,Juquia,BR,-24.3208,-47.6347,61.93,99,30,1.1,scattered clouds
515,Cabedelo,BR,-6.9811,-34.8339,75.87,84,15,13.11,few clouds
516,Watertown,US,42.3709,-71.1828,53.47,82,1,1.01,clear sky
517,Lishu,CN,43.3047,124.3278,56.21,51,6,7.23,clear sky
518,Nuqui,CO,5.7125,-77.2708,75.74,88,100,2.42,light rain
519,Atar,MR,20.5169,-13.0499,88.61,18,7,4.63,clear sky
520,Le Pradet,FR,43.1066,6.0172,68.63,74,0,4.61,clear sky
521,Grenaa,DK,56.4158,10.8783,52.02,96,100,7.0,moderate rain
522,Zell Am See,AT,47.3256,12.7944,46.0,82,65,5.53,broken clouds
523,Saldanha,ZA,-33.0117,17.9442,51.85,91,0,11.12,clear sky
524,Ginda,IN,30.6945,78.4932,67.98,85,57,1.74,broken clouds
525,Ixtapa,MX,20.7,-105.2,83.43,79,40,2.3,scattered clouds
526,Aketi,CD,2.7388,23.7833,70.09,100,100,2.39,overcast clouds
527,Sayville,US,40.7359,-73.0821,61.95,73,90,5.75,overcast clouds
528,Hay River,CA,60.8156,-115.7999,44.58,93,75,1.14,light rain
529,Ratnagiri,IN,16.9833,73.3,78.75,85,66,4.18,broken clouds
530,Feijo,BR,-8.1642,-70.3536,74.01,87,81,2.24,broken clouds
531,Kaiyuan,CN,23.6977,103.3037,75.45,75,15,0.56,light rain
532,Rundu,NA,-17.9333,19.7667,69.21,23,49,5.1,scattered clouds
533,Faya,SA,18.3851,42.4509,60.91,36,46,0.34,scattered clouds
534,Villanueva De Cordoba,ES,38.3228,-4.6287,55.13,54,59,1.68,broken clouds
535,Sioux Lookout,CA,50.1001,-91.917,68.38,94,75,3.44,broken clouds
536,Along,IN,28.1667,94.7667,80.89,80,63,1.28,broken clouds
537,Kifri,IQ,34.6959,44.9661,77.27,27,0,6.42,clear sky
538,Basoko,CD,1.2391,23.616,68.54,95,94,3.36,overcast clouds
539,Terni,IT,42.6833,12.3167,59.23,79,8,5.28,clear sky
540,Auras,IN,26.9167,80.5167,85.95,77,0,6.22,clear sky
541,Zhireken,RU,52.8249,117.3076,41.58,45,69,1.23,broken clouds
542,Lakota,CI,5.8528,-5.6883,70.77,100,100,2.37,light rain
543,Sembakung,ID,3.8167,117.25,80.53,68,76,1.99,light rain
544,Dwarka,IN,22.2394,68.9678,82.04,85,100,18.99,light rain
545,Great Falls,US,47.5002,-111.3008,62.67,34,1,1.99,clear sky
546,Yaan,NG,7.3833,8.5667,72.1,98,100,6.06,moderate rain
547,Marienburg,PL,54.0359,19.0266,45.88,78,1,7.09,clear sky
548,Belyy Yar,RU,53.6039,91.3903,46.29,81,0,6.71,clear sky
549,Sylacauga,US,33.1732,-86.2516,74.08,95,90,0.0,mist
550,San Cristobal,VE,7.7669,-72.225,68.18,97,86,1.45,light rain
551,Nador,MA,35.174,-2.9287,66.45,94,0,0.0,clear sky
552,Karaton,ID,-6.3424,106.1045,87.96,61,97,4.34,overcast clouds
553,Cabra,ES,37.4725,-4.4421,66.9,74,8,3.69,clear sky
554,Ahipara,NZ,-35.1667,173.1667,59.94,54,0,7.02,clear sky
555,Verkh-Usugli,RU,52.7,115.1667,41.7,42,5,2.48,clear sky
556,Zlobin,HR,45.2924,14.6541,51.1,67,0,8.05,clear sky
557,Kapit,MY,2.0167,112.9333,86.27,71,84,2.19,light rain
558,Ucluelet,CA,48.9329,-125.5528,54.95,87,0,5.53,clear sky
559,Itigi,TZ,-5.7,34.4833,63.95,75,18,8.84,few clouds
560,Oktyabrskiy,RU,54.4815,53.471,43.18,88,100,5.06,overcast clouds
561,Kavaratti,IN,10.5669,72.642,81.86,78,99,11.12,light rain
562,Aqtobe,KZ,50.2797,57.2072,32.09,80,0,0.0,clear sky
563,Komsomolskiy,UZ,40.4272,71.7189,61.52,51,84,6.91,broken clouds
564,Bosaso,SO,11.2842,49.1816,87.55,58,75,1.7,broken clouds
565,Beruwala,LK,6.4788,79.9828,80.24,83,100,5.91,light rain
566,Kingisepp,RU,59.3733,28.6134,38.21,95,9,5.84,clear sky
567,San Rafael,AR,-34.6177,-68.3301,58.66,27,0,6.33,clear sky
568,Rosarito,MX,32.3333,-117.0333,76.93,60,0,4.65,clear sky
569,Santa Cruz Del Sur,CU,20.7147,-77.9956,76.64,89,26,10.4,scattered clouds
570,Progreso,MX,21.2833,-89.6667,82.51,78,40,12.91,scattered clouds
571,Solnechnyy,RU,50.7214,136.6319,53.44,33,35,10.25,scattered clouds
572,Mosquera,CO,4.7059,-74.2302,55.49,94,40,2.3,scattered clouds
573,Pevek,RU,69.7008,170.3133,27.64,76,100,8.37,overcast clouds
574,Kiunga,PG,-6.1219,141.2906,86.95,67,95,2.73,light rain
575,Pajapan,MX,18.25,-94.7,77.34,90,97,4.09,overcast clouds
576,Zyryanka,RU,65.75,150.85,35.47,33,100,14.52,overcast clouds
577,Tigil,RU,57.8,158.6667,43.45,86,100,7.27,overcast clouds
578,Kakonko,TZ,-3.2828,30.9642,66.94,69,100,1.23,overcast clouds
579,Tessalit,ML,20.1986,1.0114,83.07,11,96,9.35,overcast clouds
580,Saint-Leu,RE,-21.15,55.2833,70.63,74,14,3.09,few clouds
581,Gizo,SB,-8.103,156.8419,84.72,69,96,7.47,overcast clouds
582,Araouane,ML,18.9048,-3.5265,85.89,43,67,5.91,broken clouds
583,Andenes,NO,69.3143,16.1194,43.47,87,85,11.5,overcast clouds
584,Damietta,EG,31.4165,31.8133,73.29,76,1,6.22,clear sky
585,Conde,BR,-7.2597,-34.9075,74.66,94,20,5.75,few clouds
586,Palafrugell,ES,41.9174,3.1631,65.71,70,0,3.0,clear sky
587,Cuenca,EC,-2.8833,-78.9833,59.13,77,72,6.91,broken clouds
588,Tiarei,PF,-17.5333,-149.3333,80.62,77,7,17.67,clear sky
589,Khash,IR,28.2211,61.2158,71.37,20,48,6.98,scattered clouds
590,Half Moon Bay,US,37.4636,-122.4286,80.78,76,20,12.66,few clouds
591,Beisfjord,NO,68.3751,17.5988,47.25,82,31,9.04,scattered clouds
592,La Ciotat,FR,43.1748,5.6045,68.81,63,23,4.18,few clouds
593,Lincoln,US,40.8,-96.667,71.04,84,1,1.99,clear sky
594,Ginir,ET,7.1333,40.7,60.19,81,100,1.52,light rain
595,Tarata,BO,-17.6167,-66.0167,63.82,62,2,4.72,clear sky
596,Yeppoon,AU,-23.1333,150.7333,71.38,68,78,10.51,light rain
597,Gallup,US,35.5281,-108.7426,46.24,81,90,6.91,overcast clouds
598,Otane,NZ,-39.8833,176.6333,59.02,47,3,4.97,clear sky
599,Nemuro,JP,43.3236,145.575,68.43,88,100,9.57,overcast clouds
600,Tura,IN,25.5198,90.2201,81.82,68,86,2.15,overcast clouds
601,Byron Bay,AU,-28.65,153.6167,75.31,85,100,8.14,moderate rain
602,Fujin,CN,47.26,132.0322,57.11,46,10,11.25,clear sky
603,Port-Gentil,GA,-0.7193,8.7815,77.27,86,98,14.7,overcast clouds
604,Balikpapan,ID,-1.2675,116.8289,79.16,87,100,0.69,light rain
605,Port Macquarie,AU,-31.4333,152.9167,76.37,59,56,8.79,broken clouds
606,Cidreira,BR,-30.1811,-50.2056,63.46,94,100,22.06,moderate rain
607,Zemio,CF,5.0314,25.1361,68.11,98,100,2.04,overcast clouds
608,Morden,CA,49.1919,-98.1014,60.46,77,58,3.44,broken clouds
609,Porto Novo,BJ,6.4965,2.6036,80.42,92,94,4.72,overcast clouds
610,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,77.72,71,60,10.89,broken clouds
611,Itaituba,BR,-4.2761,-55.9836,74.86,89,26,1.72,light rain
612,Tadine,NC,-21.55,167.8833,73.78,79,93,15.57,light rain
613,Igrim,RU,63.1906,64.4162,32.07,84,32,7.25,scattered clouds
614,Kalmunai,LK,7.4167,81.8167,79.65,80,100,3.42,moderate rain
615,Pafos,CY,34.7667,32.4167,67.91,83,0,5.75,clear sky
616,Rincon,US,32.296,-81.2354,76.12,92,20,0.0,few clouds
617,Ulaangom,MN,49.9811,92.0667,44.08,61,100,8.05,overcast clouds
618,Trincomalee,LK,8.5711,81.2335,78.21,85,100,6.87,light rain
619,Smirnykh,RU,49.75,142.8333,58.39,44,28,13.09,scattered clouds
620,Kargopol,RU,61.5071,38.9456,44.15,95,100,3.51,overcast clouds
621,Christchurch,NZ,-43.5333,172.6333,59.32,55,0,8.01,clear sky
622,Kaeo,NZ,-35.1,173.7833,68.32,61,0,5.79,clear sky
623,Bani Walid,LY,31.7566,13.9942,67.5,81,0,8.12,clear sky
624,Port Blair,IN,11.6667,92.75,84.06,76,28,10.98,scattered clouds
625,Kazanskaya,RU,45.4106,40.4361,44.29,53,6,19.13,clear sky
626,Aklavik,CA,68.2191,-135.0107,29.23,96,88,4.99,overcast clouds
627,Cockburn Town,TC,21.4612,-71.1419,83.43,71,6,12.95,light rain
628,South Sioux City,US,42.4739,-96.4136,67.35,90,75,3.0,moderate rain
629,Whitehorse,CA,60.7161,-135.0538,42.03,82,75,13.0,broken clouds
630,Billings,US,45.7833,-108.5007,64.17,34,1,6.91,clear sky
631,Asyut,EG,27.181,31.1837,69.98,63,0,12.35,clear sky
632,Sidhauli,IN,27.2833,80.8333,85.89,78,0,6.38,clear sky
633,Pasaje,EC,-3.3333,-79.8167,73.09,83,60,0.65,broken clouds
634,Kloulklubed,PW,7.0419,134.2556,86.5,78,100,15.5,moderate rain
635,Brownsville,US,25.9018,-97.4975,83.91,83,20,1.01,few clouds
636,Portland,US,45.5234,-122.6762,58.96,92,20,1.01,few clouds
637,Quatre Cocos,MU,-20.2078,57.7625,72.09,77,91,14.81,light rain
638,Beitbridge,ZW,-22.2167,30.0,64.78,85,18,15.32,few clouds
639,Erzin,TR,36.9559,36.2,66.92,81,3,1.81,clear sky
640,Porto Belo,BR,-27.1578,-48.5531,72.16,87,100,8.08,light rain
641,Avenal,US,36.0041,-120.129,80.65,29,0,2.57,clear sky
642,Tazovskiy,RU,67.4667,78.7,31.93,93,100,18.84,overcast clouds
643,Sungaipenuh,ID,-2.0833,101.3833,67.15,85,100,0.2,overcast clouds
644,Pacific Grove,US,36.6177,-121.9166,73.6,72,1,1.01,clear sky
645,Carutapera,BR,-1.195,-46.02,77.97,83,100,5.57,overcast clouds
646,Xichang,CN,27.8964,102.2634,73.96,68,2,2.17,clear sky
647,Saint-Joseph,RE,-21.3667,55.6167,70.16,77,43,10.76,scattered clouds
648,Clonakilty,IE,51.6231,-8.8706,53.1,84,65,20.56,broken clouds
649,Sant Feliu De Guixols,ES,41.7833,3.0333,67.89,64,0,1.34,clear sky
650,Tondano,ID,1.3038,124.9112,82.49,65,43,2.53,light rain
651,Amapa,BR,1.0,-52.0,72.72,87,29,3.04,scattered clouds
652,San Vicente,AR,-26.6167,-54.1333,71.42,70,63,3.27,broken clouds
653,Katima Mulilo,NA,-17.5,24.2667,73.15,37,0,6.82,clear sky
654,Kouango,CF,4.9934,19.9619,70.77,98,100,2.15,overcast clouds
655,Samana,DO,19.2056,-69.3369,76.87,88,100,4.34,overcast clouds
656,Bathsheba,BB,13.2167,-59.5167,84.81,74,75,18.41,broken clouds
657,Havoysund,NO,70.9963,24.6622,45.48,82,56,13.71,broken clouds
658,Prieska,ZA,-29.6641,22.7474,60.87,41,96,4.0,overcast clouds
659,Xining,CN,36.6167,101.7667,59.11,35,1,0.31,clear sky
660,Mitsamiouli,KM,-11.3847,43.2844,76.39,79,6,11.23,clear sky
661,Imbituba,BR,-28.24,-48.6703,64.29,93,100,14.2,light rain
662,Union,US,40.6334,-74.2663,62.51,70,75,5.75,broken clouds
663,Berdigestyakh,RU,62.0989,126.6992,37.78,51,70,7.16,broken clouds
664,Wanaka,NZ,-44.7,169.15,64.11,43,14,5.99,few clouds
665,Tautira,PF,-17.7333,-149.15,80.62,76,26,16.75,scattered clouds
666,Guia De Isora,ES,28.2115,-16.7795,76.12,46,0,5.41,clear sky
667,Qaqortoq,GL,60.7167,-46.0333,34.3,52,0,3.31,clear sky
668,Phrae,TH,18.0833,100.0,83.86,72,40,5.75,light rain
669,Birin,NP,26.8865,88.0718,68.14,77,99,2.75,overcast clouds
670,Ritchie,ZA,-29.038,24.6028,58.21,85,67,12.33,light rain
671,Fremont,US,37.5483,-121.9886,80.85,47,1,1.01,clear sky
672,Puerto Escondido,MX,15.85,-97.0667,83.23,65,40,0.0,scattered clouds
673,Ovruch,UA,51.3246,28.8035,38.8,75,11,5.1,few clouds
674,Rognan,NO,67.0953,15.3878,51.94,70,81,8.81,broken clouds
675,Oswego,US,43.4501,-76.1497,53.55,70,87,1.99,overcast clouds
676,Ilebo,CD,-4.3167,20.5833,70.18,99,99,1.92,overcast clouds
677,Niamey,NE,13.5137,2.1098,84.49,61,0,6.91,clear sky
678,Bonthe,SL,7.5264,-12.505,76.93,88,58,3.91,light rain
679,Makat,KZ,47.6469,53.3463,44.83,42,9,4.9,clear sky
680,Wencheng,CN,33.0559,113.7978,82.51,57,1,6.58,clear sky
681,Sunrise Manor,US,36.2111,-115.0731,79.97,11,1,3.44,clear sky
682,Trabzon,TR,40.9167,39.8333,53.69,82,75,3.44,broken clouds
683,Paicandu,BR,-23.4575,-52.0486,79.47,53,0,9.22,clear sky
684,Tromso,NO,69.6496,18.957,45.37,87,0,1.99,clear sky
685,Karangampel,ID,-6.4622,108.4519,88.88,54,70,7.92,broken clouds
686,Oranjemund,NA,-28.55,16.4333,57.0,89,60,5.41,broken clouds
687,Thinadhoo,MV,0.5333,72.9333,82.22,69,100,5.64,overcast clouds
688,Tshikapa,CD,-6.4167,20.8,71.26,96,100,2.71,overcast clouds
689,Pangody,RU,65.85,74.4859,32.59,96,99,18.03,overcast clouds
690,Belmonte,BR,-15.8631,-38.8828,75.7,87,0,7.27,clear sky
691,Mayumba,GA,-3.432,10.6554,75.25,86,100,6.13,overcast clouds
692,Maibong,IN,25.3,93.1667,82.65,72,81,2.53,broken clouds
693,Indian Head,US,38.6001,-77.1622,64.29,71,20,0.0,few clouds
694,Alamogordo,US,32.8995,-105.9603,58.39,88,1,4.61,clear sky
695,Najran,SA,17.4924,44.1277,68.65,17,100,2.98,overcast clouds
696,Harnosand,SE,62.6323,17.9379,51.8,92,100,17.87,light rain
697,Santiago Del Estero,AR,-27.7951,-64.2615,68.81,60,0,21.45,clear sky
698,North Bend,US,43.4065,-124.2243,60.85,94,20,13.8,few clouds
699,Cayenne,GF,4.9333,-52.3333,83.08,80,0,4.0,light rain
700,Koslan,RU,63.4564,48.8989,43.81,97,100,3.11,overcast clouds
701,Matamoros,MX,25.5333,-103.25,86.11,35,40,10.36,scattered clouds
702,Weinan,CN,34.5036,109.5089,73.09,60,92,3.96,overcast clouds
703,Norrtalje,SE,59.758,18.705,53.24,85,95,13.91,overcast clouds
704,Olga,RU,43.7444,135.2892,54.18,94,100,4.88,light rain
705,Hope,US,33.6671,-93.5916,77.07,91,19,5.79,few clouds
706,Huarmey,PE,-10.0681,-78.1522,64.87,85,68,7.2,broken clouds
707,Erenhot,CN,43.6475,111.9767,54.19,25,51,12.57,broken clouds
708,Hamada,JP,34.8833,132.0833,77.72,66,54,11.1,broken clouds
709,Kandrian,PG,-6.2167,149.55,82.6,80,91,3.71,moderate rain
710,Delta Del Tigre,UY,-34.7633,-56.3853,59.11,96,100,3.13,light rain
711,Kasongo,CD,-4.45,26.6667,67.37,95,100,2.86,overcast clouds
712,Mayo,US,38.8876,-76.5119,64.94,76,0,1.99,clear sky
713,Darab,IR,28.7519,54.5444,78.78,20,6,4.32,clear sky
714,Ust-Nera,RU,64.5667,143.2,28.9,68,100,5.99,overcast clouds
715,Ojinaga,MX,29.5667,-104.4167,77.95,41,1,19.57,clear sky
716,Dzhebariki-Khaya,RU,62.2167,135.8,40.55,73,95,3.18,overcast clouds
